attendance,internal,assignment,gpa,failures,performance
95,88,90,9.1,0,High
90,82,85,8.7,0,High
85,78,80,8.2,0,High
80,75,76,7.9,0,High
92,86,84,8.8,0,High
88,80,82,8.5,0,High
78,70,72,7.4,0,Average
75,68,70,7.1,0,Average
72,65,68,6.8,1,Average
70,62,65,6.5,1,Average
68,60,62,6.2,1,Average
65,58,60,6.0,2,Average
60,52,55,5.6,2,Low
55,48,50,5.1,3,Low
50,45,48,4.8,3,Low
45,40,42,4.4,4,Low
58,50,52,5.0,3,Low
62,54,57,5.4,2,Low
82,74,78,7.8,0,High
77,71,74,7.3,1,Average
73,67,70,6.9,1,Average
64,56,58,5.8,2,Average
57,49,53,5.2,3,Low
89,83,87,8.6,0,High
